Open Interest,Change in Open Interest,Traded Volume,Implied Volatility,Last Traded Price,Net Change,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Strike Price,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Net Change,Last Traded Price,Implied Volatility,Traded Volume,Change in Open Interest,Open Interest
57916,-16868,1430784,15.94,153.6,65.6,330,153.6,154.45,135,46200,30,554.1,556.8,30,-712.8499999999999,554.2,13.97,38454,-6,13712
62444,1538,1178451,15.81,125.45,50.400000000000006,60,125.45,125.95,165,46300,105,625.7,628.75,120,-734.5500000000001,628.6,13.76,14768,459,4482
39291,-9479,1051870,15.84,100.55,35.599999999999994,120,100.1,100.55,60,46400,45,700.8,704.3,120,-752.75,700.55,12.65,5473,-283,2885
118908,-1348,2375546,15.78,80.1,25.499999999999993,480,79.95,80.15,270,46500,45,780.0,783.1,210,-718.05,780.0,12.89,29090,-2296,14151
44950,9157,891297,15.75,63.2,15.75,30,62.95,63.2,105,46600,75,862.85,866.9,60,-731.15,867.1,12.62,1116,102,1354
53771,322,817997,15.78,50.2,9.700000000000003,30,49.9,50.2,120,46700,30,949.35,953.15,30,-753.2,952.05,11.33,1674,81,1484
36627,-21011,852109,15.83,39.25,4.5,60,39.3,39.4,75,46800,120,1036.15,1042.7,15,-789.55,1040.0,13.98,667,-378,1640
33011,-5874,636807,15.94,31.0,0.8999999999999986,255,31.0,31.1,255,46900,120,1129.05,1133.85,15,-716.2,1131.05,0.0,410,39,789
147813,-16455,2103704,16.1,24.6,-1.75,810,24.5,24.55,60,47000,15,1222.6,1225.75,15,-810.75,1226.2,0.0,8738,-995,9374
38676,-1905,588701,16.23,20.15,-3.150000000000002,135,20.15,20.2,570,47100,45,1317.85,1324.25,45,-794.4500000000003,1321.6,17.55,120,-18,1255
43586,886,563253,16.35,16.2,-3.900000000000002,225,16.15,16.2,1380,47200,90,1411.75,1419.6,30,-742.0500000000002,1416.85,14.81,175,-34,617
38089,3164,564641,16.62,13.65,-4.4,1410,13.6,13.65,660,47300,75,1509.0,1517.85,150,-790.9000000000001,1510.0,16.83,275,-42,287
43340,14639,405894,16.82,11.25,-4.850000000000001,1770,11.2,11.3,1665,47400,15,1607.15,1614.95,30,-791.8499999999999,1606.25,0.0,128,-26,114
116279,-1428,1580220,17.2,9.9,-4.75,13440,9.9,9.95,840,47500,180,1703.4,1710.95,60,-794.2,1706.8,0.0,689,-342,6964
23411,-5010,386512,17.5,8.4,-4.799999999999999,1545,8.35,8.45,1425,47600,90,1801.35,1813.1,60,-180.79999999999995,1869.2,0.0,114,10,471
24581,685,394350,17.88,7.45,-4.499999999999999,90,7.45,7.5,915,47700,900,1814.85,2065.8,750,0.0,0.0,0.0,0,0,219
39983,6461,380156,18.11,6.3,-4.55,1425,6.3,6.35,675,47800,45,1998.05,2025.15,150,-668.1500000000001,2085.75,0.0,15,-3,330
17230,-4158,285548,18.62,5.7,-4.3500000000000005,270,5.7,5.75,1365,47900,900,2012.5,2264.1,750,0.0,0.0,0.0,0,0,93
213753,52158,1285371,19.12,5.2,-4.3,300,5.2,5.25,3375,48000,150,2198.75,2202.75,30,-771.2000000000003,2198.45,0.0,470,-274,3156
22502,-4013,254874,19.32,4.05,-4.8,2100,4.05,4.1,150,48100,900,2211.55,2452.1,750,0.0,0.0,0.0,0,0,43
20756,-3171,175515,19.75,3.75,-4.550000000000001,15,3.8,3.85,1095,48200,75,2390.15,2455.6,30,245.80000000000018,2475.8,0.0,4,1,69
24248,-6802,185913,19.88,3.2,-4.3,255,3.2,3.25,1200,48300,885,2126.2,2692.65,750,0.0,0.0,0.0,0,0,109
11995,-4620,109397,20.45,3.1,-4.1,120,3.05,3.1,1230,48400,60,2521.05,2788.7,750,-285.9000000000001,2564.1,0.0,6,3,69
95037,-23725,587428,20.93,2.8,-3.95,5790,2.8,2.85,6135,48500,150,2694.5,2704.35,30,-492.6999999999998,2991.0,48.05,24,5,650
30619,-39367,243116,21.19,2.4,-4.449999999999999,8190,2.35,2.4,450,48600,900,2698.6,3093.15,750,0.0,0.0,0.0,0,0,98
21539,-4859,127929,21.6,2.25,-4.35,3630,2.25,2.3,5250,48700,900,2793.8,3101.95,750,0.0,0.0,0.0,0,0,40
10556,-7667,91406,22.27,2.1,-4.15,1890,2.1,2.15,1005,48800,300,2458.8,3308.5,750,0.0,0.0,0.0,0,0,45
4674,-7241,82288,22.83,2.1,-3.9999999999999996,90,2.05,2.1,945,48900,900,2995.85,3405.95,750,0.0,0.0,0.0,0,0,54
88806,-49003,651443,23.55,2.3,-3.6000000000000005,7590,2.25,2.3,25410,49000,105,3192.7,3202.5,15,-812.7999999999997,3204.65,57.09,57,16,280
8818,-3014,41842,23.68,2.0,-3.6500000000000004,2700,1.9,2.0,1845,49100,900,3215.25,3617.95,750,0.0,0.0,0.0,0,0,26
5077,-2282,33833,24.34,2.2,-3.3999999999999995,15,2.0,2.2,195,49200,300,3151.6,3719.15,750,0.0,0.0,0.0,0,0,29
3235,-3389,31930,24.66,1.9,-3.5500000000000003,1095,1.8,1.9,2625,49300,300,2784.7,3807.0,750,0.0,0.0,0.0,0,0,29
4393,-1797,30171,25.03,1.7,-3.5999999999999996,15,1.65,1.75,15,49400,300,3303.25,3929.6,750,0.0,0.0,0.0,0,0,27
45974,-267,313645,25.76,1.85,-3.1999999999999997,13095,1.85,1.9,13395,49500,300,2914.1,4028.95,750,0.0,0.0,0.0,0,0,71
2635,-1488,20443,26.1,1.65,-3.4,120,1.65,1.7,1125,49600,900,3706.6,4137.0,750,753.8999999999996,4135.65,63.66,4,0,28
3927,-5118,37478,26.76,1.75,-3.0999999999999996,1260,1.65,1.75,15,49700,900,3792.3,4245.4,750,751.0,4480.0,82.48,4,3,35
1655,-2458,21552,27.41,1.65,-3.1999999999999997,2235,1.6,1.65,945,49800,300,3651.45,4345.05,750,0.0,0.0,0.0,0,0,19
6815,2527,33941,27.98,1.85,-2.7499999999999996,15,1.7,1.8,15,49900,300,3740.25,4450.7,750,0.0,0.0,0.0,0,0,26
47392,-30255,266608,28.29,1.55,-3.1000000000000005,20565,1.55,1.6,1425,50000,225,4189.15,4208.2,45,-756.25,4199.0,0.0,31,17,91
2223,2069,7054,28.67,1.45,-1.5999999999999999,90,1.45,1.5,1065,50100,75,4200.0,4399.0,750,-1157.3999999999996,4000.0,0.0,5,0,22
2752,-1871,12252,29.32,1.45,-3.1499999999999995,135,1.4,1.45,1050,50200,900,4296.95,4658.3,750,0.0,0.0,0.0,0,0,22
1158,1158,3234,29.68,1.3,-274.8,660,1.3,1.4,1035,50300,1800,4252.9,4860.45,750,0.0,0.0,0.0,0,0,18
1179,1179,3786,30.23,1.45,-257.95,435,1.35,1.45,1050,50400,900,4487.35,4793.0,750,0.0,0.0,0.0,0,0,19
20352,1424,70211,31.08,1.3,-2.9000000000000004,1530,1.25,1.35,1710,50500,750,4590.35,5072.45,750,0.0,0.0,0.0,0,0,642
2239,2215,8935,31.0,1.3,-1.8,12090,1.3,1.45,120,50600,300,4438.75,5002.9,750,0.0,0.0,0.0,0,0,18
2038,1996,9047,31.65,1.25,-1.7999999999999998,1980,1.25,1.35,1020,50700,750,4787.4,5141.75,2550,0.0,0.0,0.0,0,0,13
1463,139,6888,31.96,1.3,-2.8500000000000005,6060,1.3,1.35,975,50800,750,4586.95,5258.1,750,0.0,0.0,0.0,0,0,30
1121,295,4770,32.84,1.3,-2.8500000000000005,3795,1.3,1.35,675,50900,750,4732.05,5306.75,750,0.0,0.0,0.0,0,0,39
15746,1483,74282,33.38,1.45,-2.4000000000000004,16185,1.35,1.5,13050,51000,900,5109.0,5459.65,750,0.0,0.0,0.0,0,0,23
2176,1389,8814,33.55,1.2,-2.7,1005,1.2,1.25,2700,51100,885,4820.75,5565.4,750,0.0,0.0,0.0,0,0,26
1622,584,5851,34.08,1.2,-2.6500000000000004,1395,1.2,1.3,540,51200,750,5289.9,5608.35,750,0.0,0.0,0.0,0,0,25
5231,-1016,22850,36.04,1.25,-2.45,1830,1.25,1.45,15,51500,300,5323.15,5895.35,750,0.0,0.0,0.0,0,0,61
34277,-1452,55736,38.25,1.15,-2.4,9900,1.1,1.2,870,52000,300,5757.25,6464.3,750,0.0,0.0,0.0,0,0,33
12036,8286,24568,40.5,1.1,-2.35,15,1.05,1.1,870,52500,900,6595.5,6970.25,750,0.0,0.0,0.0,0,0,22
9540,-5353,40661,42.99,1.0,-2.45,11460,1.0,1.1,870,53000,375,7107.2,7277.95,150,-326.4499999999998,7700.0,111.75,2,1,21
2668,47,12801,45.45,1.0,-2.0,525,1.05,1.1,840,53500,750,7559.25,7966.35,750,0.0,0.0,0.0,0,0,30
8108,1363,21684,47.69,1.0,-1.85,3555,1.0,1.1,615,54000,300,7651.1,8396.75,750,0.0,0.0,0.0,0,0,229
3221,303,8631,50.26,1.15,-1.2000000000000002,2130,1.05,1.25,540,54500,1800,8427.75,8969.55,750,0.0,0.0,0.0,0,0,6
71941,-23132,114773,52.62,1.05,-1.3,900,1.0,1.05,1200,55000,900,8923.2,9456.5,750,0.0,0.0,0.0,0,0,4
75374,-11424,89478,54.52,1.0,-1.35,825,1.0,1.05,3825,55500,30,9651.85,9921.55,750,-460.0,9775.0,0.0,11,-9,3
